the_geom,the_geom_webmercator,objectid,year,dc_key,code,date_,race,sex,age,wound,officer_involved,offender_injured,offender_deceased,location,latino,point_x,point_y,dist,time,inside,outside,fatal,lat,lng
0101000020E61000000263E02DCEC952C07C2787CB01004440,0101000020110F00003BB08D3EF0E95FC117F15B8FE78F5241,5460,2018.0,201825031207,0411,2018-04-26,B,M,35,multi,N,N,N,3100 BLOCK N Broad St,0,-75.15320918,40.00005478,25,03:04:00,0,1,0,40.00005478,-75.15320918
0101000020E6100000094A7611CBCD52C032630265F0F74340,0101000020110F00006D00BA53B6F05FC158806BBDF6865241,5461,2018.0,201812030741,0411,2018-04-26,B,M,24,leg,N,N,N,1600 BLOCK S Wilton St,0,-75.2155193,39.93702376,12,19:48:00,0,1,0,39.93702376,-75.2155193
0101000020E610000089B8B55C68C552C0E6BE6A9FED024440,0101000020110F0000452548EE77E25FC1086490CD24935241,5462,2018.0,201815035284,0411,2018-04-26,B,M,20,back,N,N,N,5000 BLOCK Oxford Ave,0,-75.08449476,40.02287667,15,22:39:00,0,1,0,40.02287667,-75.08449476
0101000020E610000004928F61FEC852C0B6112E68CA014440,0101000020110F0000A71942478FE85FC1C1AB90D9E1915241,5463,2018.0,201825031318,0411,2018-04-26,W,M,42,chest,N,N,N,4000 BLOCK N 8th St,1,-75.14052619,40.01398947,25,14:13:00,0,1,0,40.01398947,-75.14052619
0101000020E6100000EB54D890E8C752C0AFFD4BEFEEFE4340,0101000020110F00009ED09061B7E65FC18E2879D8B68E5241,5464,2018.0,201824033574,0411,2018-04-26,B,M,27,arm,N,N,N,2800 BLOCK Boudinot St,0,-75.12356969,39.99166671,24,10:53:00,0,1,0,39.99166671,-75.12356969
0101000020E610000065D00130BBCF52C0600BD5287FFA4340,0101000020110F000058AF1F0901F45FC12279A01ACC895241,5465,2018.0,201818024978,0411,2018-04-27,B,M,18,multi,N,N,N,6100 BLOCK Spruce St,0,-75.24580002,39.9570056,18,01:22:00,0,1,0,39.9570056,-75.24580002
0101000020E61000001149FCA3D2C952C00CE49F3AD2014440,0101000020110F0000385E8AD2F7E95FC15C961986EA915241,5466,2018.0,201839028758,0411,2018-04-29,B,M,24,multi,N,N,N,1600 BLOCK Luzerne St,0,-75.15348148,40.01422818,39,00:12:00,0,1,0,40.01422818,-75.15348148
0101000020E6100000CC3CC11749C752C06FABCDBD8FFF4340,0101000020110F0000A5B20A80A8E55FC1467E241D698F5241,5467,2018.0,201824034734,0411,2018-04-29,B,M,38,foot,N,N,N,3200 BLOCK Shelbourne St,0,-75.11383623,39.99657414,24,18:59:00,0,1,0,39.99657414,-75.11383623
0101000020E61000002230BD9A4FC952C09145BB8670054440,0101000020110F00002E52903E19E95FC17DEBADEBED955241,5468,2018.0,201835034846,0411,2018-04-28,B,M,19,arm,N,N,N,1400 BLOCK Conlyn St,0,-75.14548367,40.04249653,35,14:17:00,0,1,0,40.04249653,-75.14548367
0101000020E6100000FF774485EAC952C05AD9BAAB09044440,0101000020110F0000C2A9906220EA5FC1164E0AD95F945241,5469,2018.0,201835034905,0411,2018-04-28,W,M,22,hand,N,N,N,1900 BLOCK Belfield St,1,-75.154939,40.03154513,35,18:19:00,0,1,0,40.03154513,-75.154939
0101000020E6100000880631E912C452C09FA5F12C3D034440,0101000020110F0000129605F133E05FC181D971087D935241,5808,2018.0,201815104133,0300,2018-11-17,W,F,30,leg,N,N,N,4000 BLOCK Benner St,0,-75.06365423,40.02530443,15,19:25:00,0,1,0,40.02530443,-75.06365423
0101000020E61000006E4163E434CA52C091F7811658FC4340,0101000020110F0000623E6DB69EEA5FC105793A28D88B5241,5809,2018.0,201822092381,0411,2018-11-16,B,M,24,neck,N,N,N,1400 BLOCK W Girard Ave,0,-75.15947828,39.97143824,22,14:15:00,0,1,0,39.97143823,-75.15947828
0101000020E61000002CB81FF000C552C0B80E0685DE024440,0101000020110F000025E42241C8E15FC1B8A6890D14935241,5810,2018.0,201815103736,0411,2018-11-16,B,M,22,torso,N,N,N,5200 BLOCK Frankford Ave,0,-75.07818225,40.02241576,15,14:30:00,0,1,0,40.02241576,-75.07818225
0101000020E61000005F027D439DCE52C0A4000F1411FC4340,0101000020110F00002D92785D1BF25FC14F77D676898B5241,5811,2018.0,201819093161,0411,2018-11-18,B,M,53,head/multi,N,N,N,5300 BLOCK Wyalusing Ave,0,-75.22834861,39.96927119,19,19:47:00,0,1,0,39.96927119,-75.22834861
