officer_id,po_race,po_sex,po_assigned_unit,po_district_number,allegations_investigated,investigative_findings,disciplinary_findings,complaint_id,officer_complaint_id
70527688,black,male,1900 19TH DISTRICT,19,Lack of Service,No Sustained Findings,Not Applicable,15-0173,15-0173-70527688
83072358,black,male,1900 19TH DISTRICT,19,Lack of Service,No Sustained Findings,Not Applicable,15-0173,15-0173-83072358
64698068,white,male,1400 14TH DISTRICT,14,Harassment,No Sustained Findings,Not Applicable,15-0174,15-0174-64698068
64698068,white,male,1400 14TH DISTRICT,14,Verbal Abuse,No Sustained Findings,Not Applicable,15-0174,15-0174-64698068
55492555,white,male,3900 39TH DISTRICT,39,Verbal Abuse,No Sustained Findings,Not Applicable,15-0175,15-0175-55492555
85274774,black,female,1400 14TH DISTRICT,14,Harassment,No Sustained Findings,Not Applicable,15-0177,15-0177-85274774
85274774,black,female,1400 14TH DISTRICT,14,Departmental Violation,No Sustained Findings,Not Applicable,15-0177,15-0177-85274774
70714113,white,male,6500 SOUTHWEST DET,,Departmental Violation,Sustained Finding,Training/Counseling,15-0178,15-0178-70714113
70714113,white,male,6500 SOUTHWEST DET,,Criminal Allegation,No Sustained Findings,Not Applicable,15-0178,15-0178-70714113
59060880,latino,male,1500 15TH DISTRICT,15,Lack of Service,Sustained Finding,Training/Counseling,15-0179,15-0179-59060880
64596788,white,male,1500 15TH DISTRICT,15,Lack of Service,Sustained Finding,Training/Counseling,15-0179,15-0179-64596788
11073457,white,male,2600 26TH DISTRICT,26,Physical Abuse,No Sustained Findings,Not Applicable,15-0180,15-0180-11073457
30936395,white,male,6600 NORTHWEST DETECTIVE,,Departmental Violation,Sustained Finding,Training/Counseling,15-0181,15-0181-30936395
30936395,white,male,6600 NORTHWEST DETECTIVE,,Departmental Violation,No Sustained Findings,Not Applicable,15-0181,15-0181-30936395
33371583,white,male,0700 07TH DISTRICT,7,Departmental Violation,Sustained Finding,Training/Counseling,15-0182,15-0182-33371583
94594270,black,male,0700 07TH DISTRICT,7,Unprofessional Conduct,No Sustained Findings,Not Applicable,15-0182,15-0182-94594270
76296197,white,female,0700 07TH DISTRICT,7,Departmental Violation,Sustained Finding,Training/Counseling,15-0182,15-0182-76296197
35823938,black,male,6003 HOMICIDE UNIT,,Departmental Violation,Sustained Finding,Training/Counseling,15-0183,15-0183-35823938
,,,,,Departmental Violation,No Sustained Findings,Not Applicable,15-0183,15-0183-
70470182,latino,male,1500 15TH DISTRICT,15,Departmental Violation,Sustained Finding,Training/Counseling,15-0183,15-0183-70470182
